Date/Time,Electricity:Facility [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Total:Electricity(kW)
 01/05  22:00:00,1.965429023,0.294640535,0.294640535,0.294640535,0.599314185,0.130575291,0.258342283,0.665444728,4.503027115
 01/05  23:00:00,1.641696738,0.293379379,0.293379379,0.293379379,0.451169115,0.098298255,0.205880856,0.575857133,3.853040234
 01/05  24:00:00,1.321407293,0.290719165,0.290719165,0.290719165,0.309757866,0.067488347,0.135920782,0.500409133,3.207140916
 01/06  01:00:00,1.006254118,0.292034195,0.292034195,0.292034195,0.161612796,0.035211311,0.086369242,0.413914574,2.579464626
 01/06  02:00:00,0.878508133,0.293236979,0.293236979,0.293236979,0.094274166,0.020539939,0.072238755,0.381106294,2.326378224
 01/06  03:00:00,0.831436097,0.295911119,0.295911119,0.295911119,0.067338672,0.014671381,0.059715255,0.37668767,2.237582432
 01/06  04:00:00,0.818295501,0.2951771,0.2951771,0.2951771,0.067338672,0.014671381,0.052611026,0.371385321,2.209833201
 01/06  05:00:00,0.813612424,0.293982471,0.293982471,0.293982471,0.067338672,0.014671381,0.063151709,0.357356191,2.19807779
 01/06  06:00:00,0.862393205,0.288508876,0.288508876,0.288508876,0.067338672,0.014671381,0.075981488,0.398780788,2.284692162
 01/06  07:00:00,1.075159168,0.278913994,0.278913994,0.278913994,0.154878975,0.033744183,0.129758031,0.460751986,2.691034325
 01/06  08:00:00,1.407764603,0.293215905,0.293215905,0.293215905,0.316491771,0.068955493,0.207405929,0.489583505,3.369849016
 01/06  09:00:00,1.346975452,0.278212965,0.278212965,0.278212965,0.303024045,0.066021219,0.268690649,0.413914574,3.233264834
 01/06  10:00:00,1.171043983,0.283000556,0.283000556,0.283000556,0.154878975,0.033744183,0.330033496,0.352274774,2.890977079
 01/06  11:00:00,1.163346594,0.284979226,0.284979226,0.284979226,0.127943439,0.027875616,0.34487662,0.360559693,2.87953964
 01/06  12:00:00,1.222211839,0.327490899,0.327490899,0.327490899,0.127943439,0.027875616,0.361119726,0.360670159,3.082293476
 01/06  13:00:00,1.169262443,0.289890863,0.289890863,0.289890863,0.127943439,0.027875616,0.351845974,0.354594551,2.901194612
 01/06  14:00:00,1.130475764,0.272840694,0.272840694,0.272840694,0.127943439,0.027875616,0.317847783,0.366856232,2.789520916
 01/06  15:00:00,1.130427114,0.269139539,0.269139539,0.269139539,0.134677344,0.029342762,0.292642171,0.387513298,2.782021306
 01/06  16:00:00,1.210498228,0.276443366,0.276443366,0.276443366,0.168346701,0.036678457,0.302863616,0.409054088,2.956771188
 01/06  17:00:00,1.47404712,0.27493287,0.27493287,0.27493287,0.282822414,0.061619798,0.353720743,0.483839294,3.480847979
 01/06  18:00:00,2.003661915,0.314014137,0.314014137,0.314014137,0.52524165,0.114436773,0.445069937,0.587787417,4.618240103
 01/06  19:00:00,2.302574114,0.267702048,0.267702048,0.267702048,0.781128612,0.170188022,0.398283704,0.638159727,5.093440323
 01/06  20:00:00,2.258637671,0.258749761,0.258749761,0.258749761,0.828265695,0.180457992,0.315345897,0.658706327,5.017662865
 01/06  21:00:00,2.104799948,0.261154632,0.261154632,0.261154632,0.713789982,0.155516632,0.275874928,0.681351773,4.714797159
 01/06  22:00:00,1.934072324,0.263283836,0.263283836,0.263283836,0.599314185,0.130575291,0.258342283,0.665444728,4.377600319
